# g,IPR
0.000000000000000000e+00,1.200000000000000178e+01
1.000000000000000000e+00,1.222853637255355785e+01
2.000000000000000000e+00,1.286464559165077226e+01
3.000000000000000000e+00,1.378557693067415535e+01
4.000000000000000000e+00,1.484935147868136340e+01
5.000000000000000000e+00,1.651588935922551471e+01
6.000000000000000000e+00,1.758020681347521474e+01
