# g,E_total
0.000000000000000000e+00,-6.183295595398188738e+00
1.000000000000000000e+00,-2.144319174826370755e+01
2.000000000000000000e+00,-2.497118987137817925e+01
3.000000000000000000e+00,-2.953619160521940756e+01
4.000000000000000000e+00,-3.502202074473851212e+01
5.000000000000000000e+00,-5.730903073742496900e+01
6.000000000000000000e+00,-7.147481613379849819e+01
