# g,E_total
0.000000000000000000e+00,-5.592459621117500390e+00
1.000000000000000000e+00,-1.775337351063398827e+01
2.000000000000000000e+00,-2.231030670156283335e+01
3.000000000000000000e+00,-2.771180553747658948e+01
4.000000000000000000e+00,-3.388516336133537266e+01
5.000000000000000000e+00,-5.545277791158694214e+01
6.000000000000000000e+00,-6.807734483223416078e+01
