# g,occ0,occ1,ipr
0.000000000000000000e+00,5.000000000000002220e-01,4.999999999999998890e-01,5.000000000000001110e-01
5.000000000000000278e-02,5.000000000000237588e-01,4.999999999999759637e-01,4.999999999999997224e-01
1.000000000000000056e-01,5.000000000000174305e-01,4.999999999999826250e-01,5.000000000000000000e-01
1.500000000000000222e-01,5.000000000000155431e-01,4.999999999999842903e-01,4.999999999999998335e-01
2.000000000000000111e-01,5.000000000000206501e-01,4.999999999999792388e-01,4.999999999999998890e-01
2.500000000000000000e-01,5.000000000000135447e-01,4.999999999999868994e-01,5.000000000000004441e-01
3.000000000000000444e-01,5.000000000000148770e-01,4.999999999999850120e-01,4.999999999999998890e-01
3.500000000000000333e-01,5.000000000000249800e-01,4.999999999999756861e-01,5.000000000000006661e-01
4.000000000000000222e-01,5.000000000000155431e-01,4.999999999999843459e-01,4.999999999999998890e-01
4.500000000000000111e-01,5.000000000000144329e-01,4.999999999999856226e-01,5.000000000000000000e-01
5.000000000000000000e-01,5.000000000000118794e-01,4.999999999999883982e-01,5.000000000000002220e-01
5.500000000000000444e-01,5.000000000000131006e-01,4.999999999999873435e-01,5.000000000000004441e-01
6.000000000000000888e-01,5.000000000000155431e-01,4.999999999999846234e-01,5.000000000000002220e-01
6.500000000000000222e-01,5.000000000000092149e-01,4.999999999999904521e-01,4.999999999999996669e-01
7.000000000000000666e-01,5.000000000000123235e-01,4.999999999999885092e-01,5.000000000000008882e-01
7.500000000000000000e-01,5.000000000000096589e-01,4.999999999999902300e-01,4.999999999999998890e-01
8.000000000000000444e-01,5.000000000000131006e-01,4.999999999999870104e-01,5.000000000000001110e-01
8.500000000000000888e-01,5.000000000000097700e-01,4.999999999999899525e-01,4.999999999999997224e-01
9.000000000000000222e-01,5.000000000000079936e-01,4.999999999999915623e-01,4.999999999999995559e-01
9.500000000000000666e-01,5.000000000000004441e-01,4.999999999999996114e-01,5.000000000000000000e-01
1.000000000000000000e+00,5.000000000000013323e-01,4.999999999999984457e-01,4.999999999999997780e-01
1.050000000000000044e+00,5.000000000000072164e-01,4.999999999999927280e-01,4.999999999999999445e-01
1.100000000000000089e+00,5.000000000000104361e-01,4.999999999999898970e-01,5.000000000000003331e-01
1.150000000000000133e+00,5.000000000000078826e-01,4.999999999999917843e-01,4.999999999999996669e-01
1.200000000000000178e+00,5.000000000000063283e-01,4.999999999999931721e-01,4.999999999999995004e-01
1.250000000000000000e+00,4.999999999999950040e-01,5.000000000000045519e-01,4.999999999999995559e-01
1.300000000000000044e+00,4.999999999999981126e-01,5.000000000000016653e-01,4.999999999999997780e-01
1.350000000000000089e+00,5.000000000000005551e-01,4.999999999999995559e-01,5.000000000000001110e-01
1.400000000000000133e+00,5.000000000000008882e-01,4.999999999999993339e-01,5.000000000000002220e-01
1.450000000000000178e+00,4.999999999999978906e-01,5.000000000000018874e-01,4.999999999999997780e-01
1.500000000000000000e+00,4.999999999999975575e-01,5.000000000000023315e-01,4.999999999999998890e-01
1.550000000000000044e+00,5.000000000000006661e-01,4.999999999999988343e-01,4.999999999999995004e-01
1.600000000000000089e+00,5.000000000000008882e-01,4.999999999999987232e-01,4.999999999999996114e-01
1.650000000000000133e+00,5.000000000000005551e-01,4.999999999999991118e-01,4.999999999999996669e-01
1.700000000000000178e+00,5.000000000000007772e-01,4.999999999999992784e-01,5.000000000000000000e-01
