LAMMPS restart file after 2ns annealing

1810 atoms
2 atom types

0.0 25.994814 xlo xhi
0.0 25.994814 ylo yhi
0.0 46.795331 zlo zhi

Masses

1 28.0855  # Si
2 47.867   # Ti

Atoms # atomic

104 1 3.136370 2.352950 3.098270
850 2 0.893969 1.225050 3.308000
1211 2 12.390300 0.728725 22.286500
631 1 5.749240 1.435550 2.564110
994 2 4.951320 3.716210 1.678340
1233 2 8.123320 1.650790 3.127980
1234 2 10.472600 2.762050 4.245320
130 1 10.544200 4.068840 1.836360
240 1 11.421800 1.223230 2.464630
1570 2 13.555800 2.006540 3.784780
3 1 14.336800 1.122950 1.592570
1330 2 16.904900 1.993750 2.756730
730 1 19.562800 1.948440 3.532450
1593 2 22.086100 2.214840 4.199760
654 1 22.580400 3.602740 1.636650
1594 2 20.274900 2.922030 1.254590
49 1 21.585800 0.872556 1.906490
265 1 24.329200 1.535770 2.865330
66 1 26.139500 3.678860 2.754640
1714 2 1.219850 6.086230 2.634510
636 1 3.437160 5.230400 2.910230
199 1 6.094780 5.057590 3.534150
1018 2 7.171250 7.211760 2.844280
347 1 9.665600 6.914050 2.380750
1017 2 8.497680 4.722550 3.115310
404 1 13.524500 4.289790 2.390210
1257 2 11.549100 5.694970 3.665600
512 1 13.432100 7.041350 2.738460
319 1 16.216400 4.596890 2.677050
632 1 16.021700 7.390790 2.652490
1473 2 18.717700 4.459440 3.186930
97 1 19.887400 6.970240 2.942640
334 1 21.033300 4.618140 3.564240
1617 2 22.236300 6.213410 1.980990
655 1 23.784100 4.192910 4.037020
101 1 24.679300 6.610200 2.696860
614 1 1.015690 8.528740 3.080130
921 2 2.999250 10.256900 2.246520
895 2 3.816800 7.682530 2.647980
531 1 5.648700 9.372270 2.860050
1013 2 8.614510 9.331510 2.302940
613 1 10.117600 10.075600 4.241880
1135 2 11.726500 8.778960 2.974890
384 1 25.854000 13.551000 15.010000
1378 2 14.660600 8.998200 3.896680
157 1 16.598500 10.470600 3.016390
1497 2 18.099800 8.615920 3.454030
679 1 19.733100 10.199900 1.856840
579 1 22.554900 6.896730 4.290490
1738 2 20.983800 9.167460 3.830340
201 1 21.960200 8.679390 1.545120
1736 2 23.993400 9.002370 2.946890
461 1 25.556000 10.215900 4.544200
475 1 2.009590 11.791100 3.981620
922 2 2.390160 13.362800 1.918340
516 1 4.626640 12.236900 2.682260
61 1 8.354360 11.783300 2.005620
333 1 13.285900 13.636400 1.965320
1161 2 10.899900 12.401900 2.732020
503 1 13.280400 10.876100 2.800010
1281 2 15.550500 12.812600 2.843650
1521 2 18.467700 12.177300 2.762350
1735 2 22.039100 11.127400 1.336230
26 1 20.723700 13.196500 2.326160
35 1 25.745000 13.423200 2.125430
778 2 26.170800 10.816400 2.206920
675 1 23.860000 11.478300 2.847990
152 1 2.773600 1.275860 5.348270
