-1.908438248767905729e-09,-3.902272110940839880e-09,1.311059743272979458e-09,-4.204177338687086103e-09,-9.244298159030669732e-09,1.082472496377216362e-10,-1.511579966718360618e-09,-5.276779902542742470e-09,2.977327966281880997e-10,-6.588855845472696426e-09,2.973151203071412382e-09,-7.857184817404655811e-09,-2.400598603000234262e-09,-6.703607522383359107e-09,-9.979311730321047819e-09,-4.179267806801598368e-09,-2.312908309402275306e-09,-5.320966250374264614e-09,-7.236574628317622281e-09,-9.102976663714944586e-09,-3.098360925517327363e-09,-3.616369082912494282e-09,-9.102692210806668030e-09,-3.837306770379305884e-09,-8.794041014764322631e-09,-8.410111170870831002e-09,3.663236284814517726e-09,-2.922735454852031347e-09,-6.947587153586370912e-09,2.540460880670527416e-09,-3.223567226410921360e-09,-2.037842252746151911e-09,-9.859019391432769994e-09,-1.004448164047952105e-09,4.004447876239511026e-09,3.863212062904942522e-09,2.680171613412955268e-09,2.001681255196416896e-09,-7.424521253763909090e-09,-8.330862875363578141e-09,-2.146663610033043654e-09,2.050505854253771446e-09,-4.284808370283053544e-09,2.078811632564897451e-09,1.026669902122001685e-09,-1.510910662059464400e-09,-9.075114930551014727e-09,1.279237343956634784e-09,-9.975153070545861094e-09,-1.492699800549253679e-09
-1.499983283928760800e-03,-1.499971509570466235e-03,-1.499994308833810892e-03,-1.500026688977532585e-03,-1.500008197447932293e-03,-1.499983154350306496e-03,-1.499994904629745832e-03,-1.499992268987759055e-03,-1.499967877682030840e-03,-1.499978150592723523e-03,-1.499988995193306945e-03,-1.500011317801435871e-03,-1.500021192003002943e-03,-1.499981765215843222e-03,-1.499980515274687001e-03,-1.500010127404070772e-03,-1.499975829705838069e-03,-1.499999609286018247e-03,-1.499979827874333349e-03,-1.499961351169045408e-03,-1.500023379012150725e-03,-1.500004768216507646e-03,-1.500010014924456608e-03,-1.499976117698245117e-03,-1.499988936981609330e-03,-1.500010635555437243e-03,-1.499980475430825501e-03,-1.499971201908651590e-03,-1.499962650416425663e-03,-1.500016340023418993e-03,-1.499995694984603131e-03,-1.499986595282473082e-03,-1.500012763724134718e-03,-1.499979733594051850e-03,-1.499993246034337247e-03,-1.500041005870761043e-03,-1.500021005807704397e-03,-1.500010660494823086e-03,-1.500004882720484692e-03,-1.500002886027251197e-03,-1.500010804679831854e-03,-1.500011817407841163e-03,-1.499984732205774957e-03,-1.500026094700542554e-03,-1.500023356261738060e-03,-1.500007386732360361e-03,-1.500028456783386761e-03,-1.500051537365864121e-03,-1.500003139905948558e-03,-1.499998125814729294e-03
-2.999945060102769505e-03,-3.000026271530125029e-03,-3.000023917600884264e-03,-2.999983929645251308e-03,-2.999993762012134659e-03,-2.999966272897485169e-03,-3.000015814503722254e-03,-3.000011900598024452e-03,-3.000005028006519445e-03,-2.999976357859330395e-03,-3.000002469507984017e-03,-2.999961119884410766e-03,-3.000023050322239964e-03,-2.999993697298614093e-03,-2.999993437649317671e-03,-2.999983945752252891e-03,-2.999961664819429316e-03,-2.999985993527374672e-03,-2.999957376728803245e-03,-2.999998518914137168e-03,-2.999959934657962530e-03,-3.000006656145114310e-03,-3.000007775657252684e-03,-2.999975199962413592e-03,-2.999969149583313083e-03,-2.999962988305022570e-03,-3.000002687181581480e-03,-2.999949245633738194e-03,-2.999959549137659783e-03,-2.999995318217607738e-03,-2.999986264918519472e-03,-2.999994252321844593e-03,-2.999970117698598938e-03,-2.999961185518317929e-03,-2.999959824130675988e-03,-3.000056267310423005e-03,-2.999994851860939612e-03,-2.999977901186528639e-03,-3.000025034062111552e-03,-3.000007485587372676e-03,-2.999989358935882533e-03,-3.000042358936743682e-03,-3.000005404960218603e-03,-2.999993365850509453e-03,-2.999956119336570810e-03,-3.000008050288267229e-03,-2.999962667750071064e-03,-3.000018222611710444e-03,-3.000006522017766627e-03,-3.000005237565754428e-03
-4.499979404966978659e-03,-4.499959841868068737e-03,-4.500003020150140053e-03,-4.499995993587831492e-03,-4.500007351065875467e-03,-4.500002585171412536e-03,-4.500005180820134537e-03,-4.499961429625347689e-03,-4.499981884835401250e-03,-4.500015488501913838e-03,-4.500029788738018482e-03,-4.499992230888124993e-03,-4.499999182087214417e-03,-4.499981843178196654e-03,-4.499990934340033014e-03,-4.499966824094534142e-03,-4.500009326198861452e-03,-4.499983957459266319e-03,-4.499981621859911775e-03,-4.500016390041003747e-03,-4.499949952904501449e-03,-4.500010598127457753e-03,-4.500034406381764156e-03,-4.499975815776718555e-03,-4.500014219026730010e-03,-4.499983330484748877e-03,-4.500011166101494479e-03,-4.499999681842752584e-03,-4.499988034515012281e-03,-4.499981131863556652e-03,-4.500011664711767341e-03,-4.499976269007576780e-03,-4.499952741859231803e-03,-4.499997425160565112e-03,-4.499977601760172564e-03,-4.500007702097661572e-03,-4.499998124942147619e-03,-4.500028524477946851e-03,-4.500002956457433562e-03,-4.500003635470040120e-03,-4.500029814813113690e-03,-4.500014251066983273e-03,-4.499966221982433512e-03,-4.499998093574025977e-03,-4.500017838163855415e-03,-4.500009981403781285e-03,-4.500031415553774373e-03,-4.499985351545598804e-03,-4.500018796182283023e-03,-4.500030446914778104e-03
-6.000005191857457100e-03,-5.999982766621417447e-03,-6.000016982321736483e-03,-6.000013477686531177e-03,-5.999990069486284966e-03,-5.999995429817849002e-03,-5.999990265546714142e-03,-6.000019095245936671e-03,-6.000031876397104481e-03,-6.000026264123757905e-03,-5.999990674647318230e-03,-6.000002850647062277e-03,-5.999992868258161548e-03,-6.000031534373013141e-03,-6.000028223610088043e-03,-6.000003461335064181e-03,-5.999968574446237594e-03,-5.999980571562522381e-03,-5.999973864211926439e-03,-5.999983048581910595e-03,-6.000004286517765864e-03,-5.999978052825553389e-03,-6.000011079349509141e-03,-6.000018597482940051e-03,-5.999999668922084174e-03,-5.999981419474924998e-03,-6.000018780111526784e-03,-6.000012240788530488e-03,-5.999970898449290095e-03,-5.999993640457682020e-03,-6.000010635942503584e-03,-6.000038829011447236e-03,-5.999991200046827719e-03,-6.000015079800867339e-03,-5.999968148124272017e-03,-6.000004735924097457e-03,-5.999991661563405278e-03,-5.999988483154355436e-03,-6.000003539849207285e-03,-5.999988389885215628e-03,-5.999990626977490943e-03,-5.999984592270718453e-03,-5.999999945023428219e-03,-5.999966803998529885e-03,-6.000010038700551510e-03,-6.000006736043451451e-03,-5.999985658260509683e-03,-6.000013337664924888e-03,-5.999963840625252218e-03,-6.000032052779456782e-03
-7.500000384690694820e-03,-7.499988195267415052e-03,-7.500013231651873717e-03,-7.500023431531751932e-03,-7.499993208254834322e-03,-7.499998318701941481e-03,-7.500024415439982862e-03,-7.500022200740771514e-03,-7.500009218638164186e-03,-7.499985109534068259e-03,-7.500012159290415405e-03,-7.499951931682672344e-03,-7.499972205822263462e-03,-7.500033472141840081e-03,-7.499994318211440116e-03,-7.499964628547331827e-03,-7.500009106194693853e-03,-7.499947530628278160e-03,-7.499972800666512840e-03,-7.500051341766904474e-03,-7.500019630494664420e-03,-7.500018801184751144e-03,-7.500036278826780964e-03,-7.499989726938150608e-03,-7.499991396805602388e-03,-7.499966061412725003e-03,-7.500019654037193458e-03,-7.499999884040571031e-03,-7.500021661067645014e-03,-7.499992110417069181e-03,-7.499992795077473941e-03,-7.499980200357873363e-03,-7.499989133369933461e-03,-7.499966695655521307e-03,-7.500059907339331165e-03,-7.499991171723040424e-03,-7.499994288273918903e-03,-7.499987898393262187e-03,-7.500019994581308067e-03,-7.500000089169022582e-03,-7.500010579933024876e-03,-7.500018098785136977e-03,-7.500026603187460832e-03,-7.500068635324705531e-03,-7.500014254950589446e-03,-7.500016689888672206e-03,-7.500009866895425426e-03,-7.499953923839819923e-03,-7.499994849187996242e-03,-7.500038014468080050e-03
-8.999992529042709008e-03,-9.000001939115419639e-03,-9.000013038612517113e-03,-9.000002694919991345e-03,-8.999986936793717002e-03,-8.999995133945335943e-03,-9.000002444867198637e-03,-8.999980119401722323e-03,-9.000023902813040697e-03,-9.000017360730501806e-03,-9.000028069304595243e-03,-8.999970500109007523e-03,-9.000010179528722745e-03,-8.999989931552520792e-03,-8.999955834737886906e-03,-8.999993100659296405e-03,-8.999998886648782545e-03,-8.999980141985011728e-03,-8.999953863914221183e-03,-8.999996194236749639e-03,-8.999975044707930402e-03,-8.999984399488776196e-03,-8.999979959313508804e-03,-9.000048036305538512e-03,-8.999987575222242325e-03,-8.999985211020838233e-03,-9.000014975173593543e-03,-9.000001250018860310e-03,-9.000020026934875406e-03,-9.000008021966331845e-03,-9.000026897430353501e-03,-9.000010898447242946e-03,-8.999991547282390134e-03,-9.000018702867061682e-03,-9.000014494697014880e-03,-8.999972099801115469e-03,-9.000033945164593457e-03,-8.999973721477112082e-03,-9.000022733968458810e-03,-8.999986329724757664e-03,-8.999998493887649900e-03,-8.999998292114029519e-03,-8.999997192197376969e-03,-8.999989159847933406e-03,-9.000033273739495646e-03,-8.999999116233524388e-03,-9.000017695849096139e-03,-9.000020271971821001e-03,-8.999971422167674789e-03,-8.999991789144266147e-03
-1.050000301946018948e-02,-1.049998262721051241e-02,-1.050005333135238528e-02,-1.050004298765985951e-02,-1.049999742721119747e-02,-1.050006522900759180e-02,-1.049998313296229141e-02,-1.050002041214159049e-02,-1.050006419555290886e-02,-1.050002785114798227e-02,-1.050003855972207571e-02,-1.050007039749365108e-02,-1.050005047226859091e-02,-1.049997061964761357e-02,-1.050002592980014277e-02,-1.049997378875438918e-02,-1.049997957474387532e-02,-1.049999063240249220e-02,-1.050011336594364013e-02,-1.050006628929900550e-02,-1.050001533744779857e-02,-1.049999488990625666e-02,-1.050002025205337697e-02,-1.050005852672301898e-02,-1.049999806563972279e-02,-1.049996589911593101e-02,-1.049996586094629862e-02,-1.049998193811395308e-02,-1.049997091270758048e-02,-1.049998871006142462e-02,-1.049997778320305858e-02,-1.050002138886472342e-02,-1.050000203769987060e-02,-1.050002919328454215e-02,-1.049996538046971996e-02,-1.050001239254098363e-02,-1.049992522629252314e-02,-1.050004381653936794e-02,-1.050000342206355158e-02,-1.049999682014223813e-02,-1.050003878662751806e-02,-1.050000878253150999e-02,-1.050003748493724513e-02,-1.049999965026541388e-02,-1.050001396183458842e-02,-1.049995000200622947e-02,-1.049999838394418891e-02,-1.049994135542213838e-02,-1.050004151722993065e-02,-1.050000227956174662e-02
-1.200004331220005764e-02,-1.200005272227276827e-02,-1.200009362409226212e-02,-1.200002367575495922e-02,-1.200009732459584103e-02,-1.200004591710268978e-02,-1.200011283266932786e-02,-1.200003090255907963e-02,-1.200010448829278223e-02,-1.199997873692070123e-02,-1.200004905013956485e-02,-1.200005108558874385e-02,-1.200003116036368368e-02,-1.199998111006510791e-02,-1.200003642021762844e-02,-1.200004388381665024e-02,-1.200010927445091177e-02,-1.200003092514236556e-02,-1.200009405403872770e-02,-1.200004697739410695e-02,-1.200008543251005616e-02,-1.200003518264613003e-02,-1.200003074247086264e-02,-1.200003921481811696e-02,-1.200003835837958575e-02,-1.199997638953342015e-02,-1.199997635136378776e-02,-1.200005203317621415e-02,-1.200004100776984155e-02,-1.200002900280129799e-02,-1.199998827362054425e-02,-1.199997227463742849e-02,-1.199998272579496858e-02,-1.200003968370203129e-02,-1.199997587088720910e-02,-1.200005268528085700e-02,-1.200002512367716843e-02,-1.200002450463446765e-02,-1.200004371480341975e-02,-1.199997750823733958e-02,-1.199998967240023182e-02,-1.200004907527137815e-02,-1.200004797535472560e-02,-1.199992073371575034e-02,-1.200002445225207583e-02,-1.200004989939087822e-02,-1.199997907203929036e-02,-1.200010085745154866e-02,-1.199999240300264093e-02,-1.200004257230161998e-02
-1.349995823620740894e-02,-1.349995269738022211e-02,-1.349996875246777840e-02,-1.350004621107099394e-02,-1.350001610852973738e-02,-1.350000771571190951e-02,-1.350003630374821059e-02,-1.350005060542721312e-02,-1.350003534026542225e-02,-1.350004502852645422e-02,-1.350004080684192795e-02,-1.350003241767144292e-02,-1.350006000988213800e-02,-1.350002643616193126e-02,-1.350005964642160376e-02,-1.350007128950637611e-02,-1.350003671831960517e-02,-1.350006752600260013e-02,-1.350001927042210163e-02,-1.350003074907684709e-02,-1.350004127550653681e-02,-1.350004668461339020e-02,-1.350003762163824728e-02,-1.350002385423113883e-02,-1.350002920206034782e-02,-1.350002446421053395e-02,-1.349999774902821068e-02,-1.349998664727108423e-02,-1.350000660843805704e-02,-1.350000656229373777e-02,-1.349998302228670038e-02,-1.350000343135669342e-02,-1.349995363214639976e-02,-1.349999400748769403e-02,-1.349996457773066337e-02,-1.349996905020335765e-02,-1.349995166046851283e-02,-1.349996666306804184e-02,-1.349996904190111854e-02,-1.349996019743724893e-02,-1.349995376848084697e-02,-1.349997032828877640e-02,-1.349996477710790899e-02,-1.349998165048568385e-02,-1.349999003156268293e-02,-1.349996322328945488e-02,-1.349996157432726412e-02,-1.349999352408657628e-02,-1.349996469298271953e-02,-1.349999263543046751e-02
